Frequency,RSSI,SNR,Channel,BSS,NF,Ch_load,Interference
2412,-25.0,47.0,1,26,-72,108.65384615384615,60.1063829787234
2412,-17.0,55.0,1,26,-72,108.65384615384615,51.36363636363637
2412,-17.0,55.0,1,26,-72,108.65384615384615,51.36363636363637
2412,-16.0,56.0,1,26,-72,108.65384615384615,50.44642857142857
2412,-17.0,55.0,1,26,-72,108.65384615384615,51.36363636363637
2412,-14.0,58.0,1,26,-72,108.65384615384615,48.706896551724135
2412,-18.0,54.0,1,26,-72,108.65384615384615,52.31481481481482
2412,-18.0,54.0,1,26,-72,108.65384615384615,52.31481481481482
2412,-23.0,49.0,1,26,-72,108.65384615384615,57.6530612244898
2412,-28.0,44.0,1,26,-72,108.65384615384615,64.20454545454545
2412,-64.0,8.0,1,26,-72,108.65384615384615,353.125
2412,-23.0,49.0,1,26,-72,108.65384615384615,57.6530612244898
2412,-23.0,49.0,1,26,-72,108.65384615384615,57.6530612244898
2412,-14.0,58.0,1,26,-72,108.65384615384615,48.706896551724135
2412,-17.0,55.0,1,26,-72,108.65384615384615,51.36363636363637
2412,-16.0,56.0,1,26,-72,108.65384615384615,50.44642857142857
2412,-14.0,58.0,1,26,-72,108.65384615384615,48.706896551724135
2412,-13.0,59.0,1,26,-72,108.65384615384615,47.88135593220339
2412,-16.0,56.0,1,26,-72,108.65384615384615,50.44642857142857
2412,-16.0,56.0,1,26,-72,108.65384615384615,50.44642857142857
2412,-16.0,56.0,1,26,-72,108.65384615384615,50.44642857142857
2412,-17.0,55.0,1,26,-72,108.65384615384615,51.36363636363637
2412,-60.0,12.0,1,26,-72,108.65384615384615,235.41666666666666
2412,-60.0,12.0,1,26,-72,108.65384615384615,235.41666666666666
2412,-48.0,24.0,1,26,-72,108.65384615384615,117.70833333333333
2412,-48.0,24.0,1,26,-72,108.65384615384615,117.70833333333333
5180,-28.0,79.0,36,62,-107,86.66666666666667,68.0168776371308
5180,-28.0,79.0,36,62,-107,86.66666666666667,68.0168776371308
5180,-78.0,29.0,36,62,-107,86.66666666666667,185.2873563218391
5180,-43.0,64.0,36,62,-107,86.66666666666667,83.95833333333334
5180,-83.0,24.0,36,62,-107,86.66666666666667,223.8888888888889
5180,-31.0,76.0,36,62,-107,86.66666666666667,70.70175438596492
5180,-31.0,76.0,36,62,-107,86.66666666666667,70.70175438596492
5180,-55.0,52.0,36,62,-107,86.66666666666667,103.33333333333334
5180,-26.0,81.0,36,62,-107,86.66666666666667,66.33744855967079
5180,-26.0,81.0,36,62,-107,86.66666666666667,66.33744855967079
5180,-28.0,79.0,36,62,-107,86.66666666666667,68.0168776371308
5180,-28.0,79.0,36,62,-107,86.66666666666667,68.0168776371308
5180,-72.0,35.0,36,62,-107,86.66666666666667,153.52380952380955
5180,-71.0,36.0,36,62,-107,86.66666666666667,149.25925925925927
5180,-31.0,76.0,36,62,-107,86.66666666666667,70.70175438596492
5180,-54.0,53.0,36,62,-107,86.66666666666667,101.38364779874215
5180,-54.0,53.0,36,62,-107,86.66666666666667,101.38364779874215
5180,-82.0,25.0,36,62,-107,86.66666666666667,214.93333333333337
5180,-83.0,24.0,36,62,-107,86.66666666666667,223.8888888888889
5180,-84.0,23.0,36,62,-107,86.66666666666667,233.62318840579712
5180,-85.0,22.0,36,62,-107,86.66666666666667,244.24242424242428
5180,-73.0,34.0,36,62,-107,86.66666666666667,158.03921568627453
5180,-79.0,28.0,36,62,-107,86.66666666666667,191.90476190476193
5180,-87.0,20.0,36,62,-107,86.66666666666667,268.6666666666667
5180,-80.0,27.0,36,62,-107,86.66666666666667,199.01234567901236
5180,-55.0,52.0,36,62,-107,86.66666666666667,103.33333333333334
5180,-85.0,22.0,36,62,-107,86.66666666666667,244.24242424242428
